onset_seconds,speaker_id,text
0.0,1,Bom dia
2.0,2,"Bom dia Thiago, bom dia, Mateus."
5.0,3,"Bom dia [PERSON_A], tudo bom?"
6.0,2,Tudo bom?
9.0,3,"Tudo joia, graças a [UNRESOLVED_ENTITY]."
17.0,2,Falta só o Zé.
19.0,3,É ele acabou não avisando a gente tá pouquinho atrasado. Acho que não eu não vejo problema na gente começar você vê Mateus.
27.0,1,Não ele acabou de mandar mensagem quando está chegando. WhatsApp
31.0,2,tá
35.0,3,"Mas nós temos o Mateus consegue montar acho que eu tô me ouvindo, cara. Boa eu vou compartilhar aqui a tela mas nós já temos né? Os cinco primeiros. [UNRESOLVED_ENTITY] aí para falar do segue. E talvez tenha bastante coisa para falar, mas acho que vou começar falando principal, né que a gente fez o primeiro MVP. semana passada na no home E dentro do que a gente queria testar lá o resultado. Foi bastante positivo, inclusive os pequenos percalços operacionais."
84.0,3,Que aconteceram já fizeram que a gente mapeasse isso e a gente já tá bem preparado para no próximo MVP já agora em Janeiro. Condomínio comercial evitar que eles aconteçam.
102.0,2,"Bacana esse é um assunto para a gente discutir talvez aí na Exu,"
106.0,3,"Com certeza, com certeza."
107.0,2,né? os aprendizados do primeiro MVP
118.0,1,É tem uma eixo declarada que é preencher o ficha de resultados. a 62 [UNRESOLVED_ENTITY] é aprendizado perdão.
130.0,3,"Já é mais ou menos isso então, né?"
133.0,2,Que eles estariam preparados.
136.0,1,"Bom da minha parte, tu segue, eu queria falar a respeito da reunião que a gente teve com grau na sexta-feira. A gente falou com o gerente de expansão e novos negócios. São reunião bem legal no quesito de gente pegar as informações da rede grau. Mas a outra contrapartida foi na reunião não muito boa do nosso negócio perante adesão da rede grau porque a gente percebeu que eles estão bastante adiantados contar a infraestrutura de veículos elétricos nas estradas."
174.0,1,"Bastante mesmo, eles passaram os números para gente de ampliação a frota atual perdeu né? O carregadors atuais quanto que eles estão colocando para 2025 já até dezembro de 25 nos postos e também já falou que já tá tudo preparado caso. É que eles também estão preparados caso houver necessidade de ampliar a infraestrutura que eles estão prevendo, né? Isso estrutura fixa no final a gente"
214.0,2,a estrutura fixa
218.0,1,"até perguntou para ele a respeito do que que eles achavam da nossa ideia e tudo mais né? Eles falaram que não via muito sentido na opinião deles, até porque eles estão apostando fixo desde 2013, eles trabalham com infraestrutura. De causas elétricos, né? E aí de 2020 para cá que deu um bom maior. Mas desde os três eles estudam a possibilidade de fazer fixos, eles ficaram um pouco preocupados com a operação de da nossa entre Nossa operação em cidade. Para fazer a coisa funcionar."
257.0,1,"É assim nosso sentimento, a gente concordou com o que ele falou. A gente até pensou em alguma coisa diferente para pesados e depois a gente pode até compartilhar aí mas a ideia não seria mais ter. infraestrutura de pesarmos postos e sim em outros lugares Porque a gente falou com grau, eles falaram que tá Aparentemente tudo sob controle. E a gente imagina que também que as outras redes como [UNRESOLVED_ENTITY] frango assado rede vibra, né? Que cuida da [UNRESOLVED_ENTITY] também vai estar no mesmo caminho."
294.0,3,Você não vai impedir que a gente continue que a gente vai fazer aí as reuniões que a gente já tem agendado e mapear.
300.0,2,É vocês tem que ver qual é o
300.0,3,E a certeza?
301.0,2,"problema deles, né e tentar ver se vocês. Se encaixam Em algum momento, mas a"
307.0,3,mas
309.0,2,nota lá na Exu também a gente dá uma conversada sobre. esse
