event_id,meeting_id,peak_second,diagnosis_group,corrected_trigger_type,corrected_trigger_subtype,corrected_smm_dimension,corrected_confidence,corrected_content_summary,corrected_justification,status
evt_003,2024.10.14startup_a,2169,gold_standard,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Mentor synthesizes MVP strategy around a wealthy early-adopter client, proposing a platform model analogous to Uber, while team confirms client details (570k battery purchase, hybrid car) and schedules a visit.","The excerpt shows the mentor elaborating and consolidating an MVP approach—visiting the client, testing with a diesel generator, then scaling to battery—while the team confirms client profile details. The Uber analogy enriches the shared frame but does not disrupt it; no divergence, invalidation, or forced revision is evident. The entropy spike likely reflects simultaneous multi-speaker overlaps and rapid topic shifts within a single consolidation arc.",ok
evt_012,2024.10.25startup_a,4115,gold_standard,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,"Team converges on choosing Plugin over PARTNER_D, then mentor reframes the dilemma by proposing a press release strategy that includes both partners, dissolving the either/or tension.","The team is debating Plugin vs. PARTNER_D when Speaker 1 introduces a generative reframe: a press release featuring both partners simultaneously, arguing 'não é ou né? Pode ser né?' This new possibility requires the team to evaluate whether their assumed binary choice is actually necessary, constituting generative tension. The entropy spike reflects multiple speakers processing this unexpected strategic alternative.",ok
evt_019,2024.10.28startup_b,2143,gold_standard,functional_reorientation,FR_procedural,smm_task,conf_medium,"Team reviews and closes backlog items (36, 37, 38), assigns market research on batteries/EVs to Speaker 4, then surfaces a supply-chain risk: inability to source parts during concierge trials, pending two salvage-yard visits.","The excerpt shows routine backlog triage and task assignment (items 36–38, ownership of market sizing) — classic FR. The supply-chain concern raised by Speaker 3 (t=2264) introduces a potential constraint, but the team immediately defers resolution to upcoming scheduled visits rather than revising their approach, indicating no frame disruption occurred. The entropy spike likely reflects simultaneous multi-thread talk (numbering, ownership, market scope, risk) rather than a cognitive rupture.",ok
evt_024,2024.11.04startup_a,2067,gold_standard,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Speaker 1 reframes a stalled regulatory contact strategy, then Speaker 3 proposes discarding two risk items (policy incentives, EV sales growth) as uncontrollable external variables with no team action.","Two distinct moves occur: Speaker 1 introduces a tactical reframing for approaching fire department contacts (present an MVP scenario rather than a future project), which enriches but does not disrupt the existing plan. Speaker 3 then proposes discarding risk items as uncontrollable externals, which the group collectively validates. Both moves elaborate and prune an existing strategic framework without revealing contradictory assumptions or forcing plan revision.",ok
evt_031,2024.11.04startup_b,2954,gold_standard,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Speaker 1 challenges the team's market estimates as too speculative, prompting Speaker 3 to defend their methodology as grounded in global EV battery data extrapolated via proportional reasoning to local market.","Speaker 1 repeatedly flags that current numbers are 'muito chutada' (highly guessed), introducing tension around whether the financial model has sufficient grounding. Speaker 3 counters that estimates used global growth data and a proportional rule-of-three for the local market. This is not invalidation — the team's frame is not overturned — but rather collective processing that enriches and partially defends the existing approach without requiring revision. Multiple speakers overlap on methodology, supplier visits, and next steps simultaneously, explaining the entropy spike.",ok
evt_033,2024.11.11startup_a,650,gold_standard,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,Team sequentially introduces two new external contacts — a Brazilian investor (Irineu) and Evolution/Pátria electric mobility company — while Speaker 1 reframes Evolution as a potential investor ('plan C') rather than partner.,"The excerpt shows two back-to-back network discoveries being reported and processed. Speaker 3 formally registers Irineu as an investor contact, then Speaker 2 introduces Evolution/Pátria as a new encounter. Speaker 1's reframe of Evolution as 'plan C — you could be their investees' introduces a new strategic possibility requiring collective evaluation of whether Evolution is a partner, client, or investor. This generative tension around role/relationship categorization drives the entropy spike.",ok
evt_042,2024.11.11startup_b,2732,gold_standard,functional_reorientation,FR_role,smm_roles,conf_medium,"Team discovers an unresolved customer request (part search for Veyron) with no assigned owner, then debates splitting the search task, drafting a client response, and who takes responsibility.","Speaker 3 flags that nobody owns the part-search task and a client is waiting for a response — this reveals an incomplete assumption about task coverage. However, the team immediately moves into assigning owners, splitting the task into desmanche vs. online searches, and scheduling a reply. The entropy spike reflects simultaneous topic branching (task split, client communication, ownership negotiation) rather than a frame-disrupting discovery. The team enriches and operationalizes without revising their overall approach.",ok
evt_046,2024.11.18startup_a,714,gold_standard,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Team conducts a rock review across operations, market, and finance tracks, then shifts to reviewing deprioritized action items including 99, dome activation, and a media alignment meeting.","The excerpt shows a structured progress review across multiple workstreams with no divergence in understanding, no invalidated assumptions, and no forced revision. The 99 opportunity is mentioned as a positive new channel, not a disruptive one. Deprioritized items are acknowledged and collectively confirmed as low-risk. The entropy spike likely reflects rapid topic-switching across multiple domains rather than any frame-disrupting event.",ok
evt_052,2024.11.18startup_b,321,gold_standard,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Team reveals a potential competitor whose father mentioned his son's similar software project during a visit, prompting debate over whether this prospect is a client, partner, or competitive threat.","The competitor revelation introduced by Speaker 3 and 4 disrupts the team's assumption about a prospective client ('Diplomata'): instead of being embarcado (onboarded as a client), he may be a competitor or partner. Speaker 3 explicitly states uncertainty about their differentials and whether the competitor's existing network undermines their position. This is new information that invalidates a prior assumption about the prospect's role.",ok
evt_062,2024.12.09startup_a,2958,gold_standard,functional_reorientation,FR_procedural,smm_task,conf_high,Team transitions from handling a stakeholder contact issue to collectively building an interview script with open questions for an upcoming meeting with a partner about EV infrastructure plans.,"The excerpt shows a topic switch from managing a 'decisor vs. influencer' stakeholder situation to preparing discovery questions for a partner meeting. Speaker 2 introduces the idea of a structured 'roteirinho' of open questions, and the team immediately begins generating them collaboratively. This enriches and operationalizes an existing plan without disrupting any shared frame — no assumption is invalidated, no divergence surfaces, no forced revision occurs.",ok
evt_072,2024.12.23startup_a,1491,gold_standard,functional_reorientation,FR_procedural,smm_task,conf_high,"Team reviews a checklist of pending tasks—marketing plan, scorecard, drone follow-up, 99/Uber contact, market-size research—with members reporting status (done/not done) and assigning next steps.","The excerpt shows Speaker 3 reading through a task list while others confirm completion or flag blockers (e.g., drone awaiting response, 99/Uber contact difficulty, market-size data gathered). No assumption is invalidated, no divergence surfaces, and no new idea forces frame revision. The entropy spike likely reflects rapid topic-switching across multiple agenda items and several speakers joining in quick succession.",ok
evt_082,2024.12.23startup_b,4971,gold_standard,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Team reconciles conflicting customer contact counts (four contacted vs. two responded) and discovers off-grid market is larger than assumed, as grid-connected customers also use batteries for storage.","The excerpt shows two distinct moments: a minor divergence over how to count customer contacts (four interested vs. two responded), quickly resolved, and a more substantive discovery that the addressable market extends beyond off-grid to grid-connected customers using batteries for storage. Speaker 1 explicitly notes 'you see the market grew a lot.' This enriches but does not disrupt the shared frame — the team integrates the insight without revising their approach.",ok
evt_126,2025.03.17startup_b,3428,gold_standard,functional_reorientation,FR_procedural,smm_task,conf_high,"Team reviews task list, debating whether items are 'concluded,' 'lived with,' or still open, while scheduling upcoming meetings and updating task statuses across multiple workstreams.","The peak occurs during a systematic task-list review where the team cycles through items—marking some concluded, others as 'convivemos com isso' (living with it), and scheduling meetings. Speaker 2 drives the review, others confirm or correct statuses. There is minor negotiation over labeling (concluded vs. ongoing) but no frame-disrupting divergence, invalidation, or new constraint. This is procedural progress tracking.",ok
